Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Sugar","Sweetener, can be harmful in excess",3,FALSE
"Salt","Common table salt",2,FALSE
"Water","Essential for hydration",1,FALSE
"High Fructose Corn Syrup","Sweetener made from corn",4,FALSE
"Palm Oil","Vegetable oil from palm fruit",3,FALSE
"Canola Oil","Vegetable oil from canola seeds",2,FALSE
"Soy Lecithin","Emulsifier derived from soybeans",2,FALSE
"Maltodextrin","Food additive, carbohydrate",2,FALSE
"Monosodium Glutamate (MSG)","Flavor enhancer, used in some foods",3,FALSE
"Sodium Benzoate","Preservative, commonly used in acidic foods",3,FALSE
"Citric Acid","Acidulent, often used as a preservative and flavor enhancer",2,FALSE
"Xanthan Gum","Thickening agent and stabilizer",1,FALSE
"Guar Gum","Thickening agent derived from guar beans",2,FALSE
"Sorbitol","Sugar alcohol used as a sweetener",3,FALSE
"Stevia","Natural sweetener derived from the stevia plant",1,FALSE
"Sucralose","Artificial sweetener, often sold as Splenda",3,FALSE
"Aspartame","Artificial sweetener, sold as NutraSweet and Equal",4,FALSE
"Acesulfame Potassium","Artificial sweetener, often used in combination with other sweeteners",3,FALSE
"Calcium Carbonate","Calcium supplement and acidity regulator",1,FALSE
"Potassium Sorbate","Preservative to prevent the growth of molds and yeasts",2,FALSE
"Lactic Acid","Acidulent, naturally found in dairy products",2,FALSE
"Ascorbic Acid","Vitamin C, used as an antioxidant and preservative",1,FALSE
"Artificial Flavor","Synthetic flavoring agent",3,FALSE
"Natural Flavor","Flavoring agent derived from natural sources",1,FALSE
"Dextrose","Simple sugar, often used as a sweetener",3,FALSE
"Glucose Syrup","Sweet syrup derived from starch",3,FALSE
"Modified Corn Starch","Starch treated to improve its performance in various applications",2,FALSE
"Carrageenan","Thickening and stabilizing agent derived from seaweed",2,FALSE
"Cellulose Gel","Thickening agent derived from cellulose",2,FALSE
"Sodium Phosphate","Food additive, used as a texturizer and emulsifier",2,FALSE
"Potassium Chloride","Salt substitute, also used as a flavor enhancer",2,FALSE
"Sodium Erythorbate","Antioxidant, used to prevent discoloration in food",2,FALSE
"Annatto Extract","Natural food coloring derived from the seeds of the achiote tree",1,FALSE
"Beet Juice Powder","Natural food coloring derived from beets",1,FALSE
"Beta-Carotene","Natural pigment found in carrots and other vegetables",1,FALSE
"Caramel Color","Artificial food coloring made by heating sugar",3,FALSE
"Paprika Extract","Natural food coloring derived from paprika peppers",1,FALSE
"Turmeric Extract","Natural food coloring derived from turmeric root",1,FALSE
"Red 40","Artificial food coloring, also known as Allura Red AC",4,FALSE
"Yellow 5","Artificial food coloring, also known as Tartrazine",4,FALSE
"Blue 1","Artificial food coloring, also known as Brilliant Blue FCF",4,FALSE
